This is a header line
For instance used to describes the data below 
the variable names are:
	x	y
   12.5000   30.5000
   46.0000   23.0000
   13.5000   23.0000
   38.5000   33.5000
    9.5000   39.0000
   14.5000   18.0000
    5.0000   33.5000
   29.0000   21.0000
   34.5000   42.5000
   27.5000   42.0000
   21.5000   13.0000
   32.5000   31.0000
   32.5000   29.5000
   34.0000   27.5000
   32.0000   43.5000
   47.5000   13.5000
   10.5000   16.0000
   35.5000    6.0000
   12.0000   47.0000
    6.0000   32.5000
